Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Code source,Source,Unité,Valeur,Symbole,Description du Symbole,Note
GT,Totaux des émissions,276,Allemagne,7273,Émissions (CO2),6504,Fabrication d'engrais,2017,2017,3050,FAO TIER 1,kilotonnes,1410.0152,E,Valeur estimée,
GT,Totaux des émissions,276,Allemagne,7273,Émissions (CO2),6997,Fabrication de pesticides,2017,2017,3050,FAO TIER 1,kilotonnes,1157,E,Valeur estimée,
GT,Totaux des émissions,276,Allemagne,7273,Émissions (CO2),6510,Consommation d'électricité à la ferme,2017,2017,3050,FAO TIER 1,kilotonnes,2121.0108,E,Valeur estimée,
GT,Totaux des émissions,276,Allemagne,7273,Émissions (CO2),6507,Transformation des aliments,2017,2017,3050,FAO TIER 1,kilotonnes,17031.1391,E,Valeur estimée,
GT,Totaux des émissions,276,Allemagne,7273,Émissions (CO2),6506,Emballage alimentaire,2017,2017,3050,FAO TIER 1,kilotonnes,6243.7924,E,Valeur estimée,
GT,Totaux des émissions,276,Allemagne,7273,Émissions (CO2),6508,Commerce de détail alimentaire,2017,2017,3050,FAO TIER 1,kilotonnes,12347.1958,E,Valeur estimée,
GT,Totaux des émissions,276,Allemagne,7273,Émissions (CO2),6505,Consommation des ménages,2017,2017,3050,FAO TIER 1,kilotonnes,28533.7239,E,Valeur estimée,
GT,Totaux des émissions,276,Allemagne,7273,Émissions (CO2),6815,Transporte des alimentaires,2017,2017,3050,FAO TIER 1,kilotonnes,12647.7592,E,Valeur estimée,
GT,Totaux des émissions,276,Allemagne,7273,Émissions (CO2),6821,Énergie,2017,2017,3050,FAO TIER 1,kilotonnes,710000,E,Valeur estimée,
GT,Totaux des émissions,276,Allemagne,7273,Émissions (CO2),6817,PIUP,2017,2017,3050,FAO TIER 1,kilotonnes,45700,E,Valeur estimée,
GT,Totaux des émissions,276,Allemagne,7273,Émissions (CO2),6818,Déchets,2017,2017,3050,FAO TIER 1,kilotonnes,164,E,Valeur estimée,
GT,Totaux des émissions,20,Andorre,7273,Émissions (CO2),67292,Sols organiques drainés (CO2),2017,2017,3050,FAO TIER 1,kilotonnes,0,E,Valeur estimée,
GT,Totaux des émissions,20,Andorre,7273,Émissions (CO2),6994,On-farm energy use,2017,2017,3050,FAO TIER 1,kilotonnes,39.9523,E,Valeur estimée,
GT,Totaux des émissions,20,Andorre,7273,Émissions (CO2),6751,Terres forestières,2017,2017,3050,FAO TIER 1,kilotonnes,0,E,Valeur estimée,
GT,Totaux des émissions,20,Andorre,7273,Émissions (CO2),6750,Conversion nette de forêt,2017,2017,3050,FAO TIER 1,kilotonnes,0,E,Valeur estimée,
GT,Totaux des émissions,20,Andorre,7273,Émissions (CO2),6993,Feux de tourbières,2017,2017,3050,FAO TIER 1,kilotonnes,0,E,Valeur estimée,
GT,Totaux des émissions,20,Andorre,7273,Émissions (CO2),6991,Évacuation des déchets des systèmes agroalimentaires,2017,2017,3050,FAO TIER 1,kilotonnes,2.2073,E,Valeur estimée,
GT,Totaux des émissions,20,Andorre,7273,Émissions (CO2),6505,Consommation des ménages,2017,2017,3050,FAO TIER 1,kilotonnes,1.8692,E,Valeur estimée,
GT,Totaux des émissions,20,Andorre,7273,Émissions (CO2),6815,Transporte des alimentaires,2017,2017,3050,FAO TIER 1,kilotonnes,38.1007,E,Valeur estimée,
GT,Totaux des émissions,20,Andorre,7273,Émissions (CO2),6821,Énergie,2017,2017,3050,FAO TIER 1,kilotonnes,468,E,Valeur estimée,
GT,Totaux des émissions,20,Andorre,7273,Émissions (CO2),6817,PIUP,2017,2017,3050,FAO TIER 1,kilotonnes,17.9,E,Valeur estimée,
GT,Totaux des émissions,20,Andorre,7273,Émissions (CO2),6818,Déchets,2017,2017,3050,FAO TIER 1,kilotonnes,2.35,E,Valeur estimée,
GT,Totaux des émissions,24,Angola,7273,Émissions (CO2),67292,Sols organiques drainés (CO2),2017,2017,3050,FAO TIER 1,kilotonnes,331.6273,E,Valeur estimée,
GT,Totaux des émissions,24,Angola,7273,Émissions (CO2),6994,On-farm energy use,2017,2017,3050,FAO TIER 1,kilotonnes,19.9367,E,Valeur estimée,
GT,Totaux des émissions,24,Angola,7273,Émissions (CO2),6751,Terres forestières,2017,2017,3050,FAO TIER 1,kilotonnes,0,E,Valeur estimée,
GT,Totaux des émissions,24,Angola,7273,Émissions (CO2),6750,Conversion nette de forêt,2017,2017,3050,FAO TIER 1,kilotonnes,35168.7283,E,Valeur estimée,
GT,Totaux des émissions,24,Angola,7273,Émissions (CO2),6993,Feux de tourbières,2017,2017,3050,FAO TIER 1,kilotonnes,0,E,Valeur estimée,
GT,Totaux des émissions,24,Angola,7273,Émissions (CO2),6997,Fabrication de pesticides,2017,2017,3050,FAO TIER 1,kilotonnes,1,E,Valeur estimée,
GT,Totaux des émissions,24,Angola,7273,Émissions (CO2),6506,Emballage alimentaire,2017,2017,3050,FAO TIER 1,kilotonnes,16.01,E,Valeur estimée,
GT,Totaux des émissions,24,Angola,7273,Émissions (CO2),6508,Commerce de détail alimentaire,2017,2017,3050,FAO TIER 1,kilotonnes,268.2548,E,Valeur estimée,
GT,Totaux des émissions,24,Angola,7273,Émissions (CO2),6505,Consommation des ménages,2017,2017,3050,FAO TIER 1,kilotonnes,1073.5746,E,Valeur estimée,
GT,Totaux des émissions,24,Angola,7273,Émissions (CO2),6815,Transporte des alimentaires,2017,2017,3050,FAO TIER 1,kilotonnes,630.9218,E,Valeur estimée,
GT,Totaux des émissions,24,Angola,7273,Émissions (CO2),6821,Énergie,2017,2017,3050,FAO TIER 1,kilotonnes,29400,E,Valeur estimée,
GT,Totaux des émissions,24,Angola,7273,Émissions (CO2),6817,PIUP,2017,2017,3050,FAO TIER 1,kilotonnes,1060,E,Valeur estimée,
GT,Totaux des émissions,660,Anguilla,7273,Émissions (CO2),67292,Sols organiques drainés (CO2),2017,2017,3050,FAO TIER 1,kilotonnes,0,E,Valeur estimée,
GT,Totaux des émissions,660,Anguilla,7273,Émissions (CO2),6994,On-farm energy use,2017,2017,3050,FAO TIER 1,kilotonnes,4.1692,E,Valeur estimée,
GT,Totaux des émissions,660,Anguilla,7273,Émissions (CO2),6993,Feux de tourbières,2017,2017,3050,FAO TIER 1,kilotonnes,0,E,Valeur estimée,
GT,Totaux des émissions,660,Anguilla,7273,Émissions (CO2),6510,Consommation d'électricité à la ferme,2017,2017,3050,FAO TIER 1,kilotonnes,1.4143,E,Valeur estimée,
GT,Totaux des émissions,660,Anguilla,7273,Émissions (CO2),6508,Commerce de détail alimentaire,2017,2017,3050,FAO TIER 1,kilotonnes,6.0665,E,Valeur estimée,
GT,Totaux des émissions,660,Anguilla,7273,Émissions (CO2),6505,Consommation des ménages,2017,2017,3050,FAO TIER 1,kilotonnes,16.3628,E,Valeur estimée,
GT,Totaux des émissions,660,Anguilla,7273,Émissions (CO2),6815,Transporte des alimentaires,2017,2017,3050,FAO TIER 1,kilotonnes,4.0596,E,Valeur estimée,
GT,Totaux des émissions,660,Anguilla,7273,Émissions (CO2),6821,Énergie,2017,2017,3050,FAO TIER 1,kilotonnes,143,E,Valeur estimée,
GT,Totaux des émissions,660,Anguilla,7273,Émissions (CO2),6817,PIUP,2017,2017,3050,FAO TIER 1,kilotonnes,0,E,Valeur estimée,
GT,Totaux des émissions,28,Antigua-et-Barbuda,7273,Émissions (CO2),67292,Sols organiques drainés (CO2),2017,2017,3050,FAO TIER 1,kilotonnes,0,E,Valeur estimée,
GT,Totaux des émissions,28,Antigua-et-Barbuda,7273,Émissions (CO2),6994,On-farm energy use,2017,2017,3050,FAO TIER 1,kilotonnes,23.368,E,Valeur estimée,
GT,Totaux des émissions,28,Antigua-et-Barbuda,7273,Émissions (CO2),6993,Feux de tourbières,2017,2017,3050,FAO TIER 1,kilotonnes,0,E,Valeur estimée,
GT,Totaux des émissions,28,Antigua-et-Barbuda,7273,Émissions (CO2),6991,Évacuation des déchets des systèmes agroalimentaires,2017,2017,3050,FAO TIER 1,kilotonnes,4.3464,E,Valeur estimée,
GT,Totaux des émissions,28,Antigua-et-Barbuda,7273,Émissions (CO2),6997,Fabrication de pesticides,2017,2017,3050,FAO TIER 1,kilotonnes,1,E,Valeur estimée,
GT,Totaux des émissions,28,Antigua-et-Barbuda,7273,Émissions (CO2),6510,Consommation d'électricité à la ferme,2017,2017,3050,FAO TIER 1,kilotonnes,5.0055,E,Valeur estimée,
GT,Totaux des émissions,28,Antigua-et-Barbuda,7273,Émissions (CO2),6508,Commerce de détail alimentaire,2017,2017,3050,FAO TIER 1,kilotonnes,17.3358,E,Valeur estimée,
GT,Totaux des émissions,28,Antigua-et-Barbuda,7273,Émissions (CO2),6505,Consommation des ménages,2017,2017,3050,FAO TIER 1,kilotonnes,19.564,E,Valeur estimée,
GT,Totaux des émissions,28,Antigua-et-Barbuda,7273,Émissions (CO2),6815,Transporte des alimentaires,2017,2017,3050,FAO TIER 1,kilotonnes,20.2163,E,Valeur estimée,
GT,Totaux des émissions,28,Antigua-et-Barbuda,7273,Émissions (CO2),6821,Énergie,2017,2017,3050,FAO TIER 1,kilotonnes,500,E,Valeur estimée,
GT,Totaux des émissions,28,Antigua-et-Barbuda,7273,Émissions (CO2),6817,PIUP,2017,2017,3050,FAO TIER 1,kilotonnes,3.13,E,Valeur estimée,
GT,Totaux des émissions,682,Arabie saoudite,7273,Émissions (CO2),67292,Sols organiques drainés (CO2),2017,2017,3050,FAO TIER 1,kilotonnes,0,E,Valeur estimée,
GT,Totaux des émissions,682,Arabie saoudite,7273,Émissions (CO2),6751,Terres forestières,2017,2017,3050,FAO TIER 1,kilotonnes,0,E,Valeur estimée,
GT,Totaux des émissions,682,Arabie saoudite,7273,Émissions (CO2),6750,Conversion nette de forêt,2017,2017,3050,FAO TIER 1,kilotonnes,0,E,Valeur estimée,
GT,Totaux des émissions,682,Arabie saoudite,7273,Émissions (CO2),6993,Feux de tourbières,2017,2017,3050,FAO TIER 1,kilotonnes,0,E,Valeur estimée,
GT,Totaux des émissions,682,Arabie saoudite,7273,Émissions (CO2),6991,Évacuation des déchets des systèmes agroalimentaires,2017,2017,3050,FAO TIER 1,kilotonnes,90.7706,E,Valeur estimée,
GT,Totaux des émissions,682,Arabie saoudite,7273,Émissions (CO2),6504,Fabrication d'engrais,2017,2017,3050,FAO TIER 1,kilotonnes,9316.6822,E,Valeur estimée,
GT,Totaux des émissions,682,Arabie saoudite,7273,Émissions (CO2),6997,Fabrication de pesticides,2017,2017,3050,FAO TIER 1,kilotonnes,191,E,Valeur estimée,
GT,Totaux des émissions,682,Arabie saoudite,7273,Émissions (CO2),6510,Consommation d'électricité à la ferme,2017,2017,3050,FAO TIER 1,kilotonnes,3687.4655,E,Valeur estimée,
GT,Totaux des émissions,682,Arabie saoudite,7273,Émissions (CO2),6506,Emballage alimentaire,2017,2017,3050,FAO TIER 1,kilotonnes,172.9727,E,Valeur estimée,
GT,Totaux des émissions,682,Arabie saoudite,7273,Émissions (CO2),6508,Commerce de détail alimentaire,2017,2017,3050,FAO TIER 1,kilotonnes,6243.5873,E,Valeur estimée,
GT,Totaux des émissions,682,Arabie saoudite,7273,Émissions (CO2),6505,Consommation des ménages,2017,2017,3050,FAO TIER 1,kilotonnes,12006.7075,E,Valeur estimée,
GT,Totaux des émissions,682,Arabie saoudite,7273,Émissions (CO2),6815,Transporte des alimentaires,2017,2017,3050,FAO TIER 1,kilotonnes,13245.2928,E,Valeur estimée,
GT,Totaux des émissions,682,Arabie saoudite,7273,Émissions (CO2),6821,Énergie,2017,2017,3050,FAO TIER 1,kilotonnes,562000,E,Valeur estimée,
GT,Totaux des émissions,682,Arabie saoudite,7273,Émissions (CO2),6817,PIUP,2017,2017,3050,FAO TIER 1,kilotonnes,79100,E,Valeur estimée,
GT,Totaux des émissions,32,Argentine,7273,Émissions (CO2),67292,Sols organiques drainés (CO2),2017,2017,3050,FAO TIER 1,kilotonnes,5224.2033,E,Valeur estimée,
GT,Totaux des émissions,32,Argentine,7273,Émissions (CO2),6994,On-farm energy use,2017,2017,3050,FAO TIER 1,kilotonnes,11988.5537,E,Valeur estimée,
GT,Totaux des émissions,32,Argentine,7273,Émissions (CO2),6751,Terres forestières,2017,2017,3050,FAO TIER 1,kilotonnes,-27952.2907,E,Valeur estimée,
GT,Totaux des émissions,32,Argentine,7273,Émissions (CO2),6750,Conversion nette de forêt,2017,2017,3050,FAO TIER 1,kilotonnes,54702.45,E,Valeur estimée,
GT,Totaux des émissions,32,Argentine,7273,Émissions (CO2),6993,Feux de tourbières,2017,2017,3050,FAO TIER 1,kilotonnes,0,E,Valeur estimée,
GT,Totaux des émissions,32,Argentine,7273,Émissions (CO2),6991,Évacuation des déchets des systèmes agroalimentaires,2017,2017,3050,FAO TIER 1,kilotonnes,3.9743,E,Valeur estimée,
